string,area-0x2D6-0x6E3A_1,Sasaki: {,},"‥‥‥ふ～ん。\n
ウワサに違わぬ雰囲気。","...Hmmmm.\n
The aura is just as the rumors proclaimed.",,,
string,area-0x2D6-0x6E3A_3,Sasaki: {,,ところで、,"By the way,",NOTE: i don't know why this box is split up with a [wait] command in the middle of a sentence. i'm pretty sure it's the only time it ever happens.,,
string,area-0x2D6-0x6E3A_7,,},知ってますか？,have you heard?,,,
string,area-0x2D6-0x6E3A_9,Sasaki: {,},"この屋敷で‥２０年前に何が
起こったか‥‥‥。","About what happened in this mansion, twenty years ago...",,,
string,area-0x2D6-0x6EC8_1,Motoko: {,},"あ・の・ね、笹木さん。\n
いいかげんな事を言わないで！\n
ったく、不謹慎なんだから。","Ex-CUSE me, Sasaki.\n
Quit saying stuff no one wants to hear! God, you're so thoughtless.",,,
string,area-0x2D6-0x6EC8_3,Ayaka: {,},ぶ～、態度わっる～い！,Booo! You've got a bad attitude!,,,
string,area-0x2D6-0x6EC8_5,Sasaki: {,},"い、いいんですよ。\n
気にしてませんから。","I-it's fine.\n
It's not bothering me.",,,
string,area-0x2D6-0x6F52_1,May: {,},"ねぇ、それでさ。\n
一体、何があったの？","Hey, so...What the heck happened?",,,
string,area-0x2D6-0x6F52_3,Sasaki: {,},"いやぁ、後で教えてさしあげ
ますよ。楽しみにしててください。
くっくく‥‥。","No, I'll tell you later. Do look forward to it. Keh-heh-heh...",,,
string,area-0x2D6-0x6FBC_1,Shinoda: {,},‥‥‥‥‥‥‥‥‥‥‥‥‥,.......................................,,,
string,area-0x2D6-0x6FDC_1,Shiraki: {,},"はぁ～、困った事になりまし
た‥‥。",(sigh)...What a situation this has turned into...,,,
string,area-0x2D6-0x6FDC_3,Shiraki: {,},"まさか、こんな事で撮影の予
定が狂ってしまうなんて‥はぁぁ。",I can't believe something like this would wreck the shooting schedule...(sigh).,,,
string,area-0x2D6-0x7042_1,Shiraki: {,},"メイさんと綾華さんは、この
部屋を使ってください。","May and Ayaka, please use this room.",,,
string,area-0x2D6-0x7042_3,Shiraki: {,},"メインスタッフ達が着くまで
自由にしてくださって構いません。
それじゃ、失礼します。","You're free to do as you like until the main staff arrive.\n
Now, if you'll excuse me...",,,
string,area-0x2D6-0x70BD_1,Ayaka: {,},"やった!!自由時間だって。\n
ねぇねぇ、館の中を探険しようよ！","Awright! Free time!\n
Hey hey, let's explore the mansion!",,,
string,area-0x2D6-0x7100_1,May: {,},"かんな？\n
気がついたんだね。よかった。","Kanna?\n
So you woke up. Thank goodness.",,,
string,area-0x2D6-0x7100_3,Kanna: {,},"ごめんね。\n
迷惑かけちゃったけど‥でも、もう
大丈夫だから。","Sorry.\n
I know I caused trouble, but...but I'm fine now.",,,
string,area-0x2D6-0x7161_1,Sasaki: {,},"おや。\n
メイさん達もいかがですか？","Oh?\n
May, how about you two?",,,
string,area-0x2D6-0x7161_3,Sasaki: {,},"ジュースならたくさんありま
すから、遠慮なく飲んでください。","I've got tons of juice, so drink up if you want.",,,
string,area-0x2D6-0x71C4_1,,,"もらう\n
もらわない","Take it\n
Don't take it",,,
string,area-0x2D6-0x71D1_1,May: {,},あ、いただきます。,"Oh, thanks.",,,
string,area-0x2D6-0x71D1_3,Sasaki: {,},はい、どうぞ。,Here you go.,,,
string,area-0x2D6-0x71D1_5,Sasaki: {,},"咽が乾いたら、いつでも言っ
てください。\n
それじゃ、失礼します。","If you're thirsty, talk to me anytime.\n
Well, see you later.",,,
string,area-0x2D6-0x724E_1,May: {,},"ありがとうございます。\n
でも、今は結構ですから‥。","Thank you.\n
I'm fine for now, though...",,,
string,area-0x2D6-0x724E_3,Sasaki: {,},そうですか。,"Oh, really?",,,
string,area-0x2D6-0x724E_5,Sasaki: {,},"咽が乾いたら、いつでも言っ
てください。\n
それじゃ、失礼します。","If you're thirsty, talk to me anytime.\n
Well, see you later.",DUPE: F63,,
string,area-0x2D6-0x72CB_1,Yuuko: {,},"ところで、これからどうする
つもりなの？","By the way, what are your plans now?",,,
string,area-0x2D6-0x72CB_3,Ayaka: {,},"綾華達はねぇ、館の探険に行
くんだよ。",Ayaka's group is gonna go explore the mansion.,,,
string,area-0x2D6-0x72CB_5,Yuuko: {,},"ふふ‥‥楽しそうね。\n
でも、気をつけた方がいいわ。\n
‥霊が騒ぎ出してるから。","Heh-heh...Sounds fun.\n
But you ought to be careful.\n
...The spirits are in an uproar.",,,
string,area-0x2D6-0x72CB_7,Motoko: {,},は、霊ですって?!,"Huh? The SPIRITS, seriously?",,,
string,area-0x2D6-0x72CB_9,Motoko: {,},"いいかげんな事を言って、か
んなを恐がらせないでよ。\n
エセ霊能力者さん！","Don't spout off nonsense and get Kanna scared again, you phony psychic!",,,
string,area-0x2D6-0x72CB_13,Motoko: {,},行きましょ、かんな。,"C'mon, Kanna.",,,
string,area-0x2D6-0x73E6_1,Yuuko: {,},"ふぅ‥。\n
どうも嫌われちゃったみたいね。","(sigh)...\n
I guess she doesn't care for me.",,,
string,area-0x2D6-0x73E6_3,Yuuko: {,},"でも‥本当に気をつけた方が
いいわよ。\n
何か‥嫌な事がおこる気がするの。",But...you really should be careful. I feel like something...awful's going to happen.,,,
string,area-0x2D6-0x7455_1,May: {,},"立派な鎧だね。\n
青いラインが気に入らないけど‥。","What a magnificent suit of armor. I don't really like the blue lines, though...","CHECK, not sure what the ""blue line(s)"" are supposed to be -- there's nothing matching the description in the cutscene or the image shown after examining the armor a second time. there are some kind of cables holding it up, though those are gray... unless that's just a palette limitation?",,
string,area-0x2D6-0x7455_3,Ayaka: {,},"そぉかなぁ？\n
綾華はきれいだと思うけど。","What, really?\n
Well, Ayaka thinks it's pretty.",,,
string,area-0x2D6-0x7455_5,Ayaka: {,},"この剣なんか、ほんとに切れ
そうだよ。",This sword totally looks like it could cut you.,,,
string,area-0x2D6-0x74D4_1,,,"鎧に触る\n
触らない","Touch the armor\n
Don't touch it",,,
string,area-0x2D6-0x74E4_1,May: {,},"お化け屋敷なんかだとさ。\n
こんな鎧が、いきなり動き出すんだ
よね。","So since this is some kind of ghost house...the armor's going to suddenly spring to life or something, right?",,,
string,area-0x2D6-0x751E_1,May: {,},　\s<$01>[3x]え？[1x]\s<$02>,\s<$01>[3x]Huh?[1x]\s<$02>,,,
string,area-0x2D6-0x7538_1,May: {,},"な～んか、イヤな感じがする
よねぇ‥‥。","Somehow, I've got a bad feeling about this...",,,
string,area-0x2D6-0x7538_3,Ayaka: {,},"えぇ～？\n
考えすぎだよぉ。","Huh?\n
You're thinking too much.",,,
string,area-0x2D6-0x7583_1,Ayaka: {,},"えへへ～。\n
綾華、一度でいいから、こんな鎧を
見たかったんだぁ。","Eh-heh-heh.\n
Ayaka's always wanted to see a statue like this, even just once.",,,
string,area-0x2D6-0x7583_3,May: {,},"ちょ、ちょっと‥。\n
押さないでよ綾華。","H-hey...\n
Don't push, Ayaka.",,,
string,area-0x2D6-0x75E4_1,Ayaka: {,},あ！,Ah!,,,
,area-0x2D6-0x764D_0,,,よかったぁ。,,"NOTE: looks plausible, but this is misdetected -- it's actually the very end of an unused text version of the cutscene that plays when the statue is examined",UNTRANSLATED,
string,area-0x2D6-0x7657_1,May: {,},"うぅわ‥、剣を持ってる手が
こんな小さな止め金で支えられてる
んだ‥‥。",Waah...The hand holding the sword is held up by this tiny clasp...,,,
string,area-0x2D6-0x7657_3,Navi: {,},"ぶつかったりしたら‥、え、
ええと‥と、とめが\s<$1E>ね\s<$02>が\s<$0A>は\s<$02>ずれちゃ
いますです。","And if you bump it, the...uh, umm...\n
c-clasp\s<$1E> \s<$02>gets\s<$0A> \s<$02>disconnecteded.","NOTE: in the first part of this case and nowhere else (well, except once in the art gallery), the writers occasionally play with delay effects in the text like this. perhaps they decided it didn't really work well and/or was redundant with the voice acting.",,
string,area-0x2D6-0x7657_5,Ayaka: {,},"この剣、刃がついてるんだも
ん！\n
切られたら死んじゃうよ!!","This sword's sharp!\n
You'd DIE if it cut you!",CHECK,,
string,area-0x2D6-0x7706_1,Ayaka: {,},"わぁ‥オルゴールだぁ。\n
こんなに古いのが、よく動くねぇ。","Wow...a music box!\n
It sure runs well for being so old.",,,
string,area-0x2D6-0x7706_3,Yuuko: {,},"そうね。\n
それにしてもきれいな音色‥。\n
なんか懐かしいわね。","Doesn't it?\n
And such a lovely tone...It's sort of nostalgic, isn't it?",,,
string,area-0x2D6-0x7788_1,Yuuko: {,},"幽霊？\n
ううん、私は見てないわ‥。","A ghost?\n
No, I haven't seen one...",,,
string,area-0x2D6-0x7788_3,Yuuko: {,},"‥‥オルゴールに夢中だった
し、何も感じなかったわね。",I was absorbed in the music box and didn't sense anything.,,,
string,area-0x2D6-0x77F0_1,Motoko: {,},"なかなか立派なお屋敷だけど
‥長く放置されて、ところどころが
傷んでるみたいね。","It's a pretty grand mansion, but...It's been abandoned a long time, and it's damaged here and there.",,,
string,area-0x2D6-0x783C_1,Motoko: {,},"それにしても暗いわね。\n
ったく、電気もつかないのかしら！","Seriously, it sure is dark.\n
Geez, does this place not even have electricity!?",,,
string,area-0x2D6-0x7878_1,May: {,},"どうしたの。\n
外に何かあるの？","What's wrong?\n
Is something outside?",,,
string,area-0x2D6-0x7878_3,Kanna: {,},"うん‥篠田さん達が、作業
してるの。",Yes...Shinoda and the others are working.,,,
string,area-0x2D6-0x7878_5,Kanna: {,},"こんな雨の中なのに、風邪
をひかなければいいんだけど‥。",I hope they don't catch cold being in the rain like this...,,,
string,area-0x2D6-0x78F8_1,Ayaka: {,},"うっひゃぁ!!\n
すっごい雨だよぉ。","HYAAH!\n
It's pouring buckets!",,,
string,area-0x2D6-0x78F8_3,May: {,},沢田さん達は大変だね。,Sawada and the guys sure have it tough.,,,
string,area-0x2D6-0x78F8_7,Ayaka: {,},ね、ね、もう中に入ろうよ。,"Hey, hey, let's go back inside.",,,
string,area-0x2D6-0x7967_1,Ayaka: {,},"この部屋‥なんか変な匂いが
するよぉ？",This room...doesn't it have a weird smell?,,,
string,area-0x2D6-0x7967_3,May: {,},"石油か何かの匂いみたい‥。
頭が痛くなりそうだよ。","It's like oil or something...\n
I feel like I'm getting a headache.",,,
string,area-0x2D6-0x79C1_1,Navi: {,},"ちいさなドラムかんがあるで
す。",There's small drum cans there.,,,
string,area-0x2D6-0x79C1_3,May: {,},"小さなドラム缶？\n
変な言葉だねぇ。","Small drum cans?\n
What a weird phrase.",,,
string,area-0x2D6-0x79C1_7,May: {,},"え～と‥軽油、みたいだね。
何かの燃料だったんじゃない？","Hmm...Looks like diesel oil.\n
Maybe it was some kind of fuel?",,,
string,area-0x2D6-0x7A48_1,Navi: {,},"ちいさなドラムかんがあるで
す。",There's small drum cans there.,DUPE: F104,,
string,area-0x2D6-0x7A48_3,May: {,},"小さなドラム缶？\n
変な言葉だねぇ。","Small drum cans?\n
What a weird phrase.",DUPE: F105,,
string,area-0x2D6-0x7A48_7,May: {,},"え～と‥‥軽油、みたい‥！
これがあれば発電機が動くかもね。","Hmm...Looks like diesel oil!\n
The generator might run if we use this.",,,
string,area-0x2D6-0x7AD2_1,May: {,},"あったあった。\n
この軽油があれば、あの発電機を動
かせるんじゃない？","There it is.\n
Maybe I can make that generator run with this diesel oil?",,,
string,area-0x2D6-0x7B1A_1,May: {,},これは‥‥？,What's this...?,,,
string,area-0x2D6-0x7B1A_3,Navi: {,},ボイラーみたいですね。,It seems to be a boiler.,,,
string,area-0x2D6-0x7B1A_7,May: {,},"そりゃ分かるけど‥‥おおが
かり過ぎない？","I got that, but...isn't it too big?",,,
string,area-0x2D6-0x7B1A_11,May: {,},"お湯を沸かしたり暖房に使う
としても、こんな大きなボイラーが
必要だとは思えないんだけど。",I can't believe you'd need a boiler this size for heating water and warming the house.,,,
string,area-0x2D6-0x7BC9_1,,,"ボイラーを調べる\n
かまを開ける\n
やめる","Investigate the boiler\n
Open the furnace\n
Quit",,,
string,area-0x2D6-0x7BE3_1,May: {,},"それにしても、大きすぎるよ
ね‥。\n
発電機でも兼ねているのかな？","Really, it's way too big, isn't it...?\n
Does it act as an electric generator too?",,,
string,area-0x2D6-0x7C17_1,May: {,},"それにしても大きなかまだね
‥よいしょっ、と。","Sure is a big furnace.\n
Let's give it a heave...There.",,,
string,area-0x2D6-0x7C3F_2,May: {,},？何だろう、この白い石‥。,? What's up with these white stones...?,,,
string,area-0x2D6-0x7C3F_4,Navi: {,},ホネですよ。,They're bones.,,,
string,area-0x2D6-0x7C3F_6,May: {,},"　\s<$01>[2x]骨ぇ?!何の？[1x]\s<$02>\n
\n",\s<$01>[2x]Bones[!]? Of WHAT[!]?[1x]\s<$02>,,,
string,area-0x2D6-0x7C3F_8,Navi: {,},それは‥わかんないですぅ。,I...dunno.,,,
string,area-0x2D6-0x7CB7_1,May: {,},"これ以上は、持って行く必要
はないよね。",I don't need to take any more than this.,,,
string,area-0x2D6-0x7CEB_3,May: {,},なんだって骨があるんだろ？,What are bones doing here?,,,
string,area-0x2D6-0x7D28_1,May: {,},"鍵がかかってるね。\n
このドアは開かないよ。","It's locked.\n
This door won't open.",,,
string,area-0x2D6-0x7E0B_1,May: {,},"うぅわ‥、剣を持ってる手が
こんな小さな止め金で支えられてる
んだ‥‥。",Waah...The hand holding the sword is held up by this tiny clasp...,DUPE: F87,,
string,area-0x2D6-0x7E4F_1,May: {,},沢田さん達は大変だね。,Sawada and the guys sure have it tough.,DUPE: F100,,
string,area-0x2D6-0x7E4F_3,Ayaka: {,},ね、ね、もう中に入ろうよ。,"Hey, hey, let's go back inside.",DUPE: F101,,
string,area-0x2D6-0x7E99_1,Motoko: {,},かんな?!,Kanna!?,,,
string,area-0x2D6-0x7EB0_1,May: {,},"しっかし汚いトイレだねぇ。
まぁ、だれも掃除なんてしてなかっ
たんだから当然だろうけど‥。","That's one dirty toilet.\n
Well, no one's been cleaning it or anything, so I guess it's only natural...",,,
string,area-0x2D6-0x7EFB_1,May: {,},物置みたいだね。,Looks like a storeroom.,,,
string,area-0x2D6-0x7F20_1,May: {,},"欄干の木が腐りかけてるよ。
危ないから、うかつに手をかけない
方がよさそうだね。","The railing's wood is rotten.\n
It's not safe, so I should probably try to keep from putting my hand on it without thinking.",,,
string,area-0x2D6-0x7F68_1,May: {,},"素子が、ダーツ得意だったな
んて知らなかったなぁ。",I didn't know Motoko was so good at darts.,,,
string,area-0x2D6-0x7FA1_0,,,"\n
　　\c<$09>軽油を手に入れました。","[br3]
#SETPADANDCENTER(0, 224)
\c<$09>Diesel oil acquired.
#DISABLEPADANDCENTER()",,,
string,area-0x2D6-0x7FB9_1,May: {,},‥‥‥‥‥。,...............,,,
string,area-0x2D6-0x7FB9_3,Navi: {,},どうしました？,What's wrong?,,,
string,area-0x2D6-0x7FB9_5,May: {,},"な～んか、イヤな感じがする
よねぇ‥‥。","Somehow, I've got a bad feeling about this...",DUPE: F81,,
string,area-0x2D6-0x8009_1,,,"セーブ　　　　　人物\n
設定　　　　　　コマンド終了\n","Save
[sp]<$70>
Characters
\n

Settings
[sp]<$70>
Close Commands","NOTE: there's a superfluous linebreak at the end of this version of the menu text. other versions, including ones with identical text in subsequent blocks, don't have it.",,
string,area-0x2D6-0x8031_1,,,セーブしました。,Saved.,,,
string,area-0x2D6-0x8063_1,,,"ナビ　　　綾華　　　かんな\n
素子　　　優子　　　沢田\n
笹木　　　白木　　　篠田","Navi
[sp]<$4A>
Ayaka
[sp]<$94>
Kanna
\n

Motoko
[sp]<$4A>
Yuuko
[sp]<$94>
Sawada
\n

Sasaki
[sp]<$4A>
Shiraki
[sp]<$94>
Shinoda",,,
string,area-0x2D6-0x80AF_1,,,"ナビ\n
ＭＥＣ社から発売される人工知性体\n
この姿はホログラム映像なんだよ。","Navi\n
An artifical intelligence to be sold by MEC Corporation. This form is a holographic image.",,,
string,area-0x2D6-0x80F7_1,,,"立花　綾華（たちばな　あやか）\n
ボクと同じ事務所の女優。１４歳。\n
子供な所が、また可愛いんだよねぇ","Ayaka Tachibana\n
An actress with the same company as me. 14 years old. She's a bit childish, but cute too, huh?",,,
string,area-0x2D6-0x8151_1,,,"三原　かんな（みはら　かんな）\n
１５歳。女優としては大人しすぎる\n
感じがするね。色気はあるけど。","Kanna Mihara\n
15 years old. Doesn't she seem too meek to be an actress? She's alluring, though.",,,
string,area-0x2D6-0x81A4_1,,,"柳　素子（やなぎ　もとこ）\n
１６歳の女優。すっごくキツイ性格\n
してる。ボクは好きじゃないなぁ。","Motoko Yanagi\n
A 16-year-old actress. She's got a REALLY uptight personality. I don't like her.",,,
string,area-0x2D6-0x81F5_1,,,"幻条　優子（げんじょう　ゆうこ）
２７歳の霊能タレント。霊能力の話
はともかく、きれいな人だよねぇ。","Yuuko Genjou\n
A 27-year-old celebrity psychic. Psychic power stuff aside, she sure is pretty.",,,
string,area-0x2D6-0x824A_1,,,"沢田　重樹（さわだ　しげき）\n
カメラさん。これでも２７歳。\n
仕事にはキビしい人みたい。","Shigeki Sawada\n
A cameraman. Despite his looks, he's 27. Seems like a stickler when it comes to his job.","NOTE: これでも is presumably referring to his portrait, displayed on the screen",,
string,area-0x2D6-0x8297_1,,,"笹木　忠雄（ささき　ただお）\n
雑務担当の２２歳。一流大学の黒ミ\n
サ同好会出身だってウワサ。","Tadao Sasaki\n
A 22-year-old handling routine duties. Rumors say he was in a group at an elite university that held a Black Mass.",,,
string,area-0x2D6-0x82F0_1,,,"白木　厚志（しらき　あつし）\n
２４歳のアシスタントディレクター\n
なんか、頼りない人だよねぇ。","Atsushi Shiraki\n
A 24-year-old assistant director. Doesn't seem like the world's most reliable guy.",,,
string,area-0x2D6-0x833F_1,,,"篠田　正次（しのだ　しょうじ）\n
照明担当の２５歳。無口で、愛想の\n
悪い人だよねぇ…。","Shouji Shinoda\n
A 25-year-old in charge of lighting. Kind of a quiet and distant guy...",,,
string,area-0x2D6-0x839B_1,,,白の台本　,White Script[sp]<$4A>,"NOTE: 台本 = ""script"", as in e.g. a movie script, to go with the actress theme.
the menu layout was ~unfortunately~ not designed for strings of this length, so i've adjusted the code to target a more uniform width instead of having a significantly wider third column. thus, we need an extra 8 pixels of spacing per option compared to the original game.",,White Script[sp]<$46>
string,area-0x2D6-0x83A8_1,,,赤の台本　,Red Script[sp]<$94>,,,Red Script[sp]<$8C>
string,area-0x2D6-0x83B4_1,,,青の台本　　,Blue Script[br3],NOTE: original game relies on auto-linewrap to generate a linebreak after this option; we have to do it manually,,Blue Script[br3]
string,area-0x2D6-0x83C0_1,,,緑の台本　,Green Script[sp]<$4A>,,,Green Script[sp]<$46>
string,area-0x2D6-0x83CC_1,,,黒の台本　,Black Script[sp]<$94>,,,Black Script[sp]<$8C>
string,area-0x2D6-0x83D8_2,,,セーブしない,Don't save,,,
string,area-0x2D6-0x83E4_1,,,セーブできませんでした。,Unable to save.,,,
string,area-0x2D6-0x83F7_1,,,"バストアップ　　ＯＮ　ＯＦＦ\n
音声　　　　　　ＯＮ　ＯＦＦ","Full Portraits
[sp]<$70>
ON
[sp]<$9A>
OFF
\n

Voices
[sp]<$70>
ON
[sp]<$9A>
OFF",,,
,area-0x2D6-0x9164_0,,,セき誘隼,,NOTE: misdetected,UNTRANSLATED,
string,area-0x2D6-0x91B0_1,May: {,},"これ、発電機だよね。\n
これが動けば、電灯がつくんじゃな
い？","This is a generator, right?\n
Maybe the lights will come on if it's running?",,,
string,area-0x2D6-0x91EE_1,,,"発電機を調べる\n
発電機を動かす\n
やめる","Investigate the generator\n
Turn on the generator\n
Quit",,,
string,area-0x2D6-0x920D_1,May: {,},"一応、動いてはいるけど‥。
なんか頼りないなぁ。","Looks like it's running for now, but...it doesn't seem too reliable.",,,
string,area-0x2D6-0x9243_1,May: {,},"小型の発電機みたい。\n
燃料は‥‥、軽油を使ってるみたい
だね。","Looks like a small-scale generator.\n
It seems to run on...diesel oil.",,,
string,area-0x2D6-0x9243_3,May: {,},"これを動かせば、館の明りが
つくんじゃないかな？","If I turn this on, maybe the mansion's lights will come on?",,,
string,area-0x2D6-0x92A2_1,May: {,},"軽油をつかう小型発電機。\n
軽油はあるけど‥壊れてないといい
んだけどねぇ。",A small generator that runs on diesel oil. I have the oil...but I'd hate to break it.,,,
string,area-0x2D6-0x92DF_1,May: {,},"このヒモを引っ張れば動くみ
たい。\n
よっ、と！","It looks like it'll come on if I pull this cord.\n
Here goes!",,,
string,area-0x2D6-0x9307_1,May: {,},"ふぅ、動くわけないか。\n
燃料が入ってないんだもんね。","(sigh)...Guess there's no way it'd work. After all, there's no fuel in it.",,,
string,area-0x2D6-0x9334_1,May: {,},軽油を入れてっ、とぉ。\n,In goes the oil...There.,,,
